adm4_code,name,lat,lon
31.74.03.1003,Pela Mampang,-6.2485391013,106.817148576
31.74.03.1004,Tegal Parang,-6.2488145011,106.8292312648
31.74.03.1005,Kuningan Barat,-6.2359575333,106.8221448806
31.74.04.1001,Pasar Minggu,-6.2899192257,106.8393634542
31.74.04.1002,Jati Padang,-6.2882593844,106.831058032
31.74.04.1003,Cilandak Timur,-6.2912471594,106.8127643945
31.74.04.1004,Ragunan,-6.2987613613,106.8212387758
31.74.04.1005,Pejaten Timur,-6.2801614065,106.8482823108
31.74.04.1006,Pejaten Barat,-6.2729931264,106.8352825471
31.74.04.1007,Kebagusan,-6.3097349288,106.8309423614
31.74.05.1001,Kebayoran Lama Utara,-6.2461436661,106.7768487242
31.74.05.1002,Pondok Pinang,-6.2760660269,106.7788574092
31.74.05.1003,Cipulir,-6.2379352051,106.7731551226
31.74.05.1004,Grogol Utara,-6.2172202116,106.7871368877
31.74.05.1005,Grogol Selatan,-6.2297043855,106.7814494311
31.74.05.1006,Kebayoran Lama Selatan,-6.254567622,106.7801484847
31.74.06.1001,Cilandak Barat,-6.2905142961,106.7971562497
31.74.06.1002,Lebak Bulus,-6.3011231926,106.7789416104
31.74.06.1003,Pondok Labu,-6.3092750638,106.7970294611
31.74.06.1004,Gandaria Selatan,-6.2709437237,106.7930103358
31.74.06.1005,Cipete Selatan,-6.2727763279,106.8050573035
31.74.07.1001,Melawai,-6.2455926318,106.802246659
31.74.07.1002,Gunung,-6.2359438866,106.7927751267
31.74.07.1003,Kramat Pela,-6.2447287597,106.7924424191
31.74.07.1004,Selong,-6.2342158153,106.8045945108
31.74.07.1005,Rawa Barat,-6.2363621503,106.8131390142
31.74.07.1006,Senayan,-6.2267860322,106.8103948174
31.74.07.1007,Pulo,-6.2533099771,106.8020450889
31.74.07.1008,Petogogan,-6.2431981482,106.8111916938
31.74.07.1009,Gandaria Utara,-6.2577797304,106.7910413416
31.74.07.1010,Cipete Utara,-6.2617301404,106.8043644207
31.74.08.1001,Pancoran,-6.2474433601,106.8407078331
31.74.08.1002,Kalibata,-6.2633305412,106.8376583599
31.74.08.1003,Rawajati,-6.2580956754,106.8546520696
31.74.08.1004,Duren Tiga,-6.2558361551,106.8352912836
31.74.08.1005,Pengadegan,-6.2492564871,106.8554241627
31.74.08.1006,Cikoko,-6.2449753534,106.8542798254
31.74.09.1001,Jagakarsa,-6.3253737196,106.8192476917
